route_name,direction_group,route_variant_id,cluster_id,heuristic_label,confirmed_type,confirmed,notes
15,main,1,,regular,regular,False,
22,direction_A,1,,regular,regular,False,
22,direction_A,2,,regular,regular,False,
22,direction_A,3,22_direction_A_cluster_1,blocked,blocked,False,
22,direction_A,4,,regular,regular,False,
22,direction_A,5,,regular,regular,False,
22,direction_A,6,,regular,regular,False,
22,direction_A,7,,regular,regular,False,
22,direction_A,8,,regular,regular,False,
22,direction_A,9,,regular,regular,False,
22,direction_A,10,22_direction_A_cluster_1,blocked,blocked,False,
22,direction_A,11,,regular,regular,False,
22,direction_A,12,,regular,regular,False,
22,direction_A,13,,regular,regular,False,
22,direction_A,14,,regular,regular,False,
22,direction_B,1,,regular,regular,False,
22,direction_B,2,,regular,regular,False,
22,direction_B,3,,regular,regular,False,
22,direction_B,4,,regular,regular,False,
22,direction_B,5,,regular,regular,False,
22,direction_B,6,,regular,regular,False,
22,direction_B,7,22_direction_B_cluster_1,blocked,blocked,False,
19,direction_A,1,19_direction_A_cluster_1,blocked,blocked,False,
19,direction_A,2,,regular,regular,False,
19,direction_A,3,,regular,regular,False,
19,direction_A,4,,regular,regular,False,
19,direction_A,5,,regular,regular,False,
19,direction_A,6,,regular,regular,False,
19,direction_A,7,,regular,regular,False,
19,direction_A,8,,regular,regular,False,
19,direction_A,9,,regular,regular,False,
19,direction_A,10,,regular,regular,False,
19,direction_A,11,19_direction_A_cluster_1,blocked,blocked,False,
19,direction_A,12,,regular,regular,False,
19,direction_A,13,,regular,regular,False,
19,direction_A,14,19_direction_A_cluster_2,blocked,blocked,False,
19,direction_A,15,,regular,regular,False,
19,direction_A,16,,regular,regular,False,
19,direction_A,17,19_direction_A_cluster_1,blocked,blocked,False,
19,direction_B,1,,regular,regular,False,
19,direction_B,2,19_direction_B_cluster_1,blocked,blocked,False,
19,direction_B,3,,regular,regular,False,
19,direction_B,4,19_direction_B_cluster_1,ambiguous,ambiguous,False,
19,direction_B,5,19_direction_B_cluster_1,ambiguous,ambiguous,False,
19,direction_B,6,,regular,regular,False,
19,direction_B,7,,regular,regular,False,
19,direction_B,8,19_direction_B_cluster_1,blocked,blocked,False,
19,direction_B,9,,regular,regular,False,
19,direction_B,10,19_direction_B_cluster_1,blocked,blocked,False,
19,direction_B,11,,regular,regular,False,
17,direction_A,1,,regular,regular,False,
17,direction_A,2,17_direction_A_cluster_1,blocked,blocked,False,
17,direction_A,3,17_direction_A_cluster_1,blocked,blocked,False,
17,direction_A,4,,regular,regular,False,
17,direction_A,5,,regular,regular,False,
17,direction_A,6,,regular,regular,False,
17,direction_A,7,,regular,regular,False,
17,direction_A,8,,regular,regular,False,
17,direction_A,9,17_direction_A_cluster_1,blocked,blocked,False,
17,direction_A,10,,regular,regular,False,
17,direction_A,11,,regular,regular,False,
17,direction_A,12,,regular,regular,False,
17,direction_A,13,17_direction_A_cluster_1,blocked,blocked,False,
17,direction_A,14,,regular,regular,False,
17,direction_B,1,,regular,regular,False,
17,direction_B,2,17_direction_B_cluster_1,blocked,blocked,False,
17,direction_B,3,,regular,regular,False,
17,direction_B,4,,regular,regular,False,
17,direction_B,5,,regular,regular,False,
17,direction_B,6,,regular,regular,False,
17,direction_B,7,17_direction_B_cluster_2,blocked,blocked,False,
