route_id,month,DayOfWeek,HourSourceTime,StopSequence_Rishui,n_rows_in_group,n_distinct_stopcodes,winning_stopcode,winning_stopcode_votes,ambiguous
5502,1,5,7,42,3,2,6028,2,False
11107,1,5,7,67,3,2,3093,2,False
11108,1,5,7,1,3,2,1711,2,False
11108,1,5,7,2,3,2,6189,2,False
11108,1,5,7,3,3,2,202,2,False
11108,1,5,7,4,3,2,1586,2,False
11108,1,5,7,5,3,2,1525,2,False
11108,1,5,7,6,3,2,947,2,False
11108,1,5,7,7,3,2,948,2,False
11108,1,5,7,8,3,2,952,2,False
11108,1,5,7,9,3,2,953,2,False
11108,1,5,7,10,3,2,954,2,False
5502,1,6,7,42,3,2,6028,2,False
11107,1,6,7,67,3,2,3093,2,False
11108,1,6,7,1,3,2,1711,2,False
11108,1,6,7,2,3,2,6189,2,False
11108,1,6,7,3,3,2,202,2,False
11108,1,6,7,4,3,2,1586,2,False
11108,1,6,7,5,3,2,1525,2,False
11108,1,6,7,6,3,2,947,2,False
11108,1,6,7,7,3,2,948,2,False
11108,1,6,7,8,3,2,952,2,False
11108,1,6,7,9,3,2,953,2,False
11108,1,6,7,10,3,2,954,2,False
5502,1,1,8,42,3,2,6028,2,False
11107,1,1,8,67,3,2,3093,2,False
11108,1,1,8,1,3,2,1711,2,False
11108,1,1,8,2,3,2,6189,2,False
11108,1,1,8,3,3,2,202,2,False
11108,1,1,8,4,3,2,1586,2,False
11108,1,1,8,5,3,2,1525,2,False
11108,1,1,8,6,3,2,947,2,False
11108,1,1,8,7,3,2,948,2,False
11108,1,1,8,8,3,2,952,2,False
11108,1,1,8,9,3,2,953,2,False
11108,1,1,8,10,3,2,954,2,False
5502,1,2,8,42,3,2,6028,2,False
11107,1,2,8,67,3,2,3093,2,False
11108,1,2,8,1,3,2,1711,2,False
11108,1,2,8,2,3,2,6189,2,False
11108,1,2,8,3,3,2,202,2,False
11108,1,2,8,4,3,2,1586,2,False
11108,1,2,8,5,3,2,1525,2,False
11108,1,2,8,6,3,2,947,2,False
11108,1,2,8,7,3,2,948,2,False
11108,1,2,8,8,3,2,952,2,False
11108,1,2,8,9,3,2,953,2,False
11108,1,2,8,10,3,2,954,2,False
5502,1,3,8,42,3,2,6028,2,False
11107,1,3,8,67,3,2,3093,2,False
11108,1,3,8,1,3,2,1711,2,False
11108,1,3,8,2,3,2,6189,2,False
11108,1,3,8,3,3,2,202,2,False
11108,1,3,8,4,3,2,1586,2,False
11108,1,3,8,5,3,2,1525,2,False
11108,1,3,8,6,3,2,947,2,False
11108,1,3,8,7,3,2,948,2,False
11108,1,3,8,8,3,2,952,2,False
11108,1,3,8,9,3,2,953,2,False
11108,1,3,8,10,3,2,954,2,False
5502,1,4,8,42,3,2,6028,2,False
11107,1,4,8,67,3,2,3093,2,False
11108,1,4,8,1,3,2,1711,2,False
11108,1,4,8,2,3,2,6189,2,False
11108,1,4,8,3,3,2,202,2,False
11108,1,4,8,4,3,2,1586,2,False
11108,1,4,8,5,3,2,1525,2,False
11108,1,4,8,6,3,2,947,2,False
11108,1,4,8,7,3,2,948,2,False
11108,1,4,8,8,3,2,952,2,False
11108,1,4,8,9,3,2,953,2,False
11108,1,4,8,10,3,2,954,2,False
5502,1,5,8,42,3,2,6028,2,False
11107,1,5,8,67,3,2,3093,2,False
11108,1,5,8,1,3,2,1711,2,False
11108,1,5,8,2,3,2,6189,2,False
11108,1,5,8,3,3,2,202,2,False
11108,1,5,8,4,3,2,1586,2,False
11108,1,5,8,5,3,2,1525,2,False
11108,1,5,8,6,3,2,947,2,False
11108,1,5,8,7,3,2,948,2,False
11108,1,5,8,8,3,2,952,2,False
11108,1,5,8,9,3,2,953,2,False
11108,1,5,8,10,3,2,954,2,False
5502,1,6,8,42,3,2,6028,2,False
11107,1,6,8,67,3,2,3093,2,False
11108,1,6,8,1,3,2,1711,2,False
11108,1,6,8,2,3,2,6189,2,False
11108,1,6,8,3,3,2,202,2,False
11108,1,6,8,4,3,2,1586,2,False
11108,1,6,8,5,3,2,1525,2,False
11108,1,6,8,6,3,2,947,2,False
11108,1,6,8,7,3,2,948,2,False
11108,1,6,8,8,3,2,952,2,False
11108,1,6,8,9,3,2,953,2,False
11108,1,6,8,10,3,2,954,2,False
5502,1,1,9,42,3,2,6028,2,False
11107,1,1,9,67,3,2,3093,2,False
11108,1,1,9,1,3,2,1711,2,False
11108,1,1,9,2,3,2,6189,2,False
11108,1,1,9,3,3,2,202,2,False
11108,1,1,9,4,3,2,1586,2,False
11108,1,1,9,5,3,2,1525,2,False
11108,1,1,9,6,3,2,947,2,False
11108,1,1,9,7,3,2,948,2,False
11108,1,1,9,8,3,2,952,2,False
11108,1,1,9,9,3,2,953,2,False
11108,1,1,9,10,3,2,954,2,False
5502,1,2,9,42,3,2,6028,2,False
11107,1,2,9,67,3,2,3093,2,False
11108,1,2,9,1,3,2,1711,2,False
11108,1,2,9,2,3,2,6189,2,False
11108,1,2,9,3,3,2,202,2,False
11108,1,2,9,4,3,2,1586,2,False
11108,1,2,9,5,3,2,1525,2,False
11108,1,2,9,6,3,2,947,2,False
11108,1,2,9,7,3,2,948,2,False
11108,1,2,9,8,3,2,952,2,False
