route_name,direction_group,route_variant_id,count,n_stops,ref_n_stops,n_missing,missing_fraction,missing_stop_names,heuristic_label,cluster_id,in_display_set
14,direction_A,3,1,39,40,1,0.025,['מוזיאון ישראל/וייז'],regular,,False
14,direction_A,4,1,38,40,2,0.05,"['מוזיאון ישראל/וייז', ""מוזיאון המדע/שד' המוזיאונים""]",regular,,False
14,direction_A,5,1,37,40,3,0.075,"['בית משפט העליון/זוסמן', ""מוזיאון המדע/שד' המוזיאונים"", 'קמפוס ספרא/מסוף הכניסה לאוניברסיטה']",regular,,False
14,direction_A,6,1,37,40,3,0.075,"['מוזיאון ישראל/וייז', ""מוזיאון המדע/שד' המוזיאונים"", 'קמפוס ספרא/מסוף הכניסה לאוניברסיטה']",regular,,False
14,direction_B,3,1,31,35,4,0.114,"[""הג'וינט/דרך בלפור"", 'קמפוס ספרא/מסוף הכניסה לאוניברסיטה', ""מוזיאון המדע/שד' המוזיאונים"", 'מוזיאון ישראל/ויז']",blocked,14_direction_B_cluster_1,False
14,direction_B,1,4,34,35,1,0.029,['הכנסת/קפלן'],regular,,False
14,direction_B,2,1,34,35,1,0.029,['רופין/קפלן'],regular,,False
15,main,1,4,47,48,1,0.021,['בני בתירא/בן זכאי'],regular,,False
17,direction_A,2,27,41,47,6,0.128,"['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",blocked,17_direction_A_cluster_1,True
17,direction_A,3,14,42,47,6,0.128,"['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",blocked,17_direction_A_cluster_1,True
17,direction_A,9,1,40,47,7,0.149,"['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס', 'מסוף הר הצופים/מרטין בובר']",blocked,17_direction_A_cluster_1,True
17,direction_A,13,1,41,47,6,0.128,"[""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס', 'מחנה עופרית/מרטין בובר', 'אקדמיה בצלאל/מרטין בובר', 'מסוף הר הצופים/מרטין בובר']",blocked,17_direction_A_cluster_1,True
17,direction_A,1,199,48,47,0,0.0,[],regular,,True
17,direction_A,4,4,44,47,4,0.085,"['משרד המשפטים/צלאח א דין', 'דרך שכם/לואי ונסן', 'דרך שכם/טובלר', 'דרך הר הזיתים/נשאשיבי']",regular,,False
17,direction_A,5,3,44,47,3,0.064,"['מחנה עופרית/מרטין בובר', 'אקדמיה בצלאל/מרטין בובר', 'מסוף הר הצופים/מרטין בובר']",regular,,False
17,direction_A,6,2,46,47,1,0.021,['מסוף הר הצופים/מרטין בובר'],regular,,False
17,direction_A,7,1,46,47,2,0.043,"['עזה/בלפור', ""רמב''ן/אבן עזרא""]",regular,,True
17,direction_A,8,1,47,47,1,0.021,['גולומב/סן מרטין'],regular,,False
17,direction_A,10,1,46,47,1,0.021,['אקדמיה בצלאל/מרטין בובר'],regular,,False
17,direction_A,11,1,43,47,4,0.085,"[""דולצ'ין/נחמיה"", ""דולצ'ין/יורם רונן"", ""בי''ס היובל/דולצ'ין"", ""מרכז מסחרי/דולצ'ין""]",regular,,False
17,direction_A,12,1,44,47,3,0.064,"[""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",regular,,True
17,direction_A,14,1,45,47,2,0.043,"[""אריה דולצ'ין/יעקב צור"", ""דולצ'ין/נחמיה""]",regular,,False
17,direction_B,2,32,44,49,5,0.102,"['אוסישקין/נרקיס', ""אוסישקין/רמב''ן"", 'ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'עזה/הרב ברלין']",blocked,17_direction_B_cluster_1,True
17,direction_B,9,1,43,49,6,0.122,"['בית ספר לחינוך/בנימין מזר', 'אוסישקין/נרקיס', ""אוסישקין/רמב''ן"", 'ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'עזה/הרב ברלין']",blocked,17_direction_B_cluster_1,False
17,direction_B,15,1,44,49,5,0.102,"['מסוף הר הצופים/בנימין מזר', 'ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'עזה/הרב ברלין', ""מרכז מסחרי/דולצ'ין""]",blocked,17_direction_B_cluster_1,False
17,direction_B,16,1,43,49,6,0.122,"['מסוף הר הצופים/בנימין מזר', 'אוסישקין/נרקיס', ""אוסישקין/רמב''ן"", 'ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'עזה/הרב ברלין']",blocked,17_direction_B_cluster_1,False
17,direction_B,7,2,44,49,5,0.102,"['דרך הר הזיתים/נשאשיבי', 'דרך שכם/טובלר', 'דרך שכם/לואי ונסן', 'משרד המשפטים/צלאח א דין', 'צומת עמר בן אלעס']",blocked,17_direction_B_cluster_2,False
