record_id,month,route_id,day_of_week,scheduled_departure_time,stop_sequence,stop_code,n_observations,mean_cumulative_travel_time_sec,std_cumulative_travel_time_sec,mean_cumulative_distance_m,std_cumulative_distance_m,route_name
34554621,6,10398,7,21,1,6004,7,1.14,1.11,0,0.057308756,17
34554622,6,10398,7,21,2,6081,7,1.25,1.09,266,0.057308756,17
34554623,6,10398,7,21,3,9995,7,2.0,1.1,610,0.057308756,17
34554624,6,10398,7,21,4,6124,7,2.68,1.3,823,0.057308756,17
34554625,6,10398,7,21,5,3027,7,3.05,1.28,923,0.057308756,17
34554626,6,10398,7,21,6,3004,7,3.57,1.21,1192,0.057308756,17
34554627,6,10398,7,21,7,9975,7,3.91,1.17,1298,0.057308756,17
34554628,6,10398,7,21,8,3561,7,4.18,1.15,1398,0.057308756,17
34554629,6,10398,7,21,9,9882,7,5.62,1.0,2538,0.057308756,17
34554630,6,10398,7,21,10,3245,7,7.14,0.98,3429,0.057308756,17
34554631,6,10398,7,21,11,5891,7,7.7,1.02,3599,0.057308756,17
34554632,6,10398,7,21,12,3668,7,8.21,0.91,3419,0.057308756,17
34554633,6,10398,7,21,13,5923,7,8.7,0.91,3577,0.057308756,17
34554634,6,10398,7,21,14,3246,7,9.09,0.87,3674,0.057308756,17
34554635,6,10398,7,21,15,3249,7,9.44,0.84,3891,0.057308756,17
34554636,6,10398,7,21,16,3250,7,10.07,0.81,4208,0.057308756,17
34554637,6,10398,7,21,17,2922,7,11.17,1.21,4635,0.057308756,17
34554638,6,10398,7,21,18,1586,7,14.7,1.43,5588,0.057308756,17
34554639,6,10398,7,21,19,2008,7,15.89,1.4,6133,0.057308756,17
34554640,6,10398,7,21,20,1526,7,16.41,1.55,6425,0.057308756,17
34554641,6,10398,7,21,21,949,7,17.52,1.77,7047,0.057308756,17
34554642,6,10398,7,21,22,1054,7,19.58,2.05,7759,0.057308756,17
34554643,6,10398,7,21,29,1555,7,24.02,2.08,7963,0.057308756,17
34554644,6,10398,7,21,30,2024,7,24.64,2.36,8176,0.057308756,17
34554645,6,10398,7,21,31,3605,7,26.3,2.69,8428,0.057308756,17
34554646,6,10398,7,21,32,4173,7,27.87,3.31,8626,0.057308756,17
34554647,6,10398,7,21,33,3379,7,30.08,3.12,9125,0.057308756,17
34554648,6,10398,7,21,34,2246,7,31.56,3.2,9584,0.057308756,17
34554649,6,10398,7,21,35,255,7,35.24,4.55,10327,0.057308756,17
34554650,6,10398,7,21,36,257,7,36.44,5.03,11013,0.057308756,17
34554651,6,10398,7,21,37,264,7,36.77,4.86,10895,0.057308756,17
34554652,6,10398,7,21,38,2410,7,37.58,4.89,11276,0.057308756,17
34554653,6,10398,7,21,39,427,7,38.99,5.22,12217,0.057308756,17
34554654,6,10398,7,21,40,9999,7,40.94,5.31,12438,0.057308756,17
34554655,6,10398,7,21,41,1435,7,41.07,5.21,12127,0.057308756,17
34554656,6,10398,7,21,42,1444,7,41.64,5.25,12337,0.057308756,17
