label,category,n_blockade,n_non_baseline_blockade,share_blockade,n_normal,n_non_baseline_normal,share_normal,test,p_value
Line 9,Saturday,63,58,0.9206349206349206,17,9,0.5294117647058824,Fisher exact,0.0005906928412416215
Line 9,Weekday,142,44,0.30985915492957744,1208,9,0.0074503311258278145,Chi-square (Yates),3.1119533912819975e-67
Line 9,Combined,205,102,0.4975609756097561,1225,18,0.014693877551020407,Chi-square (Yates),1.739658449090788e-116
Line 97,Saturday,68,58,0.8529411764705882,26,12,0.46153846153846156,Chi-square (Yates),0.0002850658985165541
Line 97,Weekday,282,26,0.09219858156028368,1546,13,0.008408796895213453,Chi-square (Yates),2.523195292992432e-18
Line 97,Combined,350,84,0.24,1572,25,0.015903307888040712,Chi-square (Yates),1.7401315245045174e-59
