label,category,n_blockade,n_normal,median_blockade,median_normal,delta_median_min,mwu_p,ttest_p
Line 9,Saturday,5,7,75.59,63.87,11.720000000000006,0.010101010101010102,0.019403468999107713
Line 9,Weekday,93,1165,87.86,89.74,-1.8799999999999955,0.6222562353703449,0.7632328991753153
Line 9,Combined,98,1172,87.47999999999999,89.69,-2.210000000000008,0.37805460722066997,0.878353157869692
Line 97,Saturday,10,14,32.355000000000004,33.0,-0.644999999999996,0.12073854334140409,0.0707995989251126
Line 97,Weekday,231,1433,41.72,42.74,-1.0200000000000031,0.22982708572045563,0.12625185977487224
Line 97,Combined,241,1447,41.34,42.68,-1.3399999999999963,0.07146046896944087,0.03230960492424827
