route_name,direction_group,n_blocked_hours,median_hour_blocked,n_nonblocked_hours,median_hour_nonblocked
9,direction_A,2,19.0,9,13.0
9,direction_B,2,15.0,10,13.5
17,direction_A,2,12.5,4,17.0
17,direction_B,4,12.5,1,21.0
19,direction_A,11,13.0,11,19.0
19,direction_B,10,13.5,10,19.0
22,direction_A,9,14.0,9,15.0
22,direction_B,0,,16,13.5
