route_name,direction_group,n_blocked_hours,median_hour_blocked,n_nonblocked_hours,median_hour_nonblocked
9,direction_A,2,13.5,13,12.0
9,direction_B,3,15.0,14,12.5
17,direction_A,2,13.5,7,11.0
17,direction_B,2,13.5,10,10.5
19,direction_A,3,15.0,18,15.0
19,direction_B,5,15.0,15,12.0
22,direction_A,4,15.5,15,12.0
22,direction_B,0,,19,14.0
