label,category,n_blockade,n_normal,median_blockade,median_normal,delta_median_min,mwu_p,ttest_p
Line 14,Saturday,40,7,37.78,36.57,1.2100000000000009,0.3168109033714034,0.2555189669130155
Line 14,Weekday,198,1108,47.989999999999995,47.135000000000005,0.8549999999999898,0.15595053405230294,0.06393925667277825
Line 14,Combined,238,1115,46.2,46.94,-0.7399999999999949,0.11916151509167647,0.640998814433039
Line 15,Saturday,33,12,52.9,52.004999999999995,0.8950000000000031,0.37589290717697466,0.3529619545721106
Line 15,Weekday,153,746,64.82,66.64,-1.8200000000000074,0.9412849833816428,0.5429293867145186
Line 15,Combined,186,758,61.65,66.42,-4.770000000000003,0.0765918726737443,0.29163369750651547
