bearing,distance_from_journey_start,distance_from_siri_ride_stop_meters,id,lat,lon,recorded_at_time,siri_ride__duration_minutes,siri_ride__first_vehicle_location_id,siri_ride__gtfs_ride_id,siri_ride__id,siri_ride__journey_ref,siri_ride__last_vehicle_location_id,siri_ride__scheduled_start_time,siri_ride__vehicle_ref,siri_ride_stop_id,siri_route__id,siri_route__line_ref,siri_route__operator_ref,siri_snapshot__snapshot_id,siri_snapshot_id,velocity
166,1571,,7795977124,31.85367,35.224168,2026-05-02T02:03:16+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441201,8218,30568,42,2026/05/02/02/03,2208578,44
125,2201,,7795977158,31.849151,35.227193,2026-05-02T02:04:24+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441213,8218,30568,42,2026/05/02/02/04,2208579,30
169,2957,,7795977191,31.842854,35.22981,2026-05-02T02:05:24+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441225,8218,30568,42,2026/05/02/02/05,2208580,55
181,3532,,7795977227,31.837537,35.229591,2026-05-02T02:06:17+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441238,8218,30568,42,2026/05/02/02/06,2208581,9
130,0,,7795977228,31.862924,35.227456,2026-05-02T02:06:25+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441239,8218,30568,42,2026/05/02/02/06,2208581,0
147,4500,,7795977263,31.830072,35.234873,2026-05-02T02:07:18+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441249,8218,30568,42,2026/05/02/02/07,2208582,85
337,0,,7795977264,31.862989,35.227403,2026-05-02T02:07:25+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441239,8218,30568,42,2026/05/02/02/07,2208582,1
187,5720,,7795977299,31.819733,35.233072,2026-05-02T02:08:19+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441262,8218,30568,42,2026/05/02/02/08,2208583,76
179,0,,7795977300,31.862976,35.22737,2026-05-02T02:08:25+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441239,8218,30568,42,2026/05/02/02/08,2208583,1
219,7070,,7795977336,31.810174,35.237429,2026-05-02T02:09:19+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441262,8218,30568,42,2026/05/02/02/09,2208584,71
135,0,,7795977337,31.862949,35.227404,2026-05-02T02:09:26+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441239,8218,30568,42,2026/05/02/02/09,2208584,1
204,8320,,7795977373,31.799814,35.232748,2026-05-02T02:10:20+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441262,8218,30568,42,2026/05/02/02/10,2208585,79
135,0,,7795977374,31.862971,35.227411,2026-05-02T02:09:56+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441239,8218,30568,42,2026/05/02/02/10,2208585,0
127,8861,,7795977412,31.796267,35.23273,2026-05-02T02:11:23+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441301,8218,30568,42,2026/05/02/02/11,2208586,59
269,0,,7795977413,31.862993,35.22736,2026-05-02T02:11:26+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441239,8218,30568,42,2026/05/02/02/11,2208586,0
216,9254,,7795977450,31.793333,35.23436,2026-05-02T02:12:05+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441312,8218,30568,42,2026/05/02/02/12,2208587,41
189,100,,7795977451,31.862519,35.22649,2026-05-02T02:12:11+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441239,8218,30568,42,2026/05/02/02/12,2208587,29
197,9956,,7795977489,31.791805,35.228812,2026-05-02T02:13:21+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441326,8218,30568,42,2026/05/02/02/13,2208588,37
156,913,,7795977490,31.859016,35.221875,2026-05-02T02:13:27+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441327,8218,30568,42,2026/05/02/02/13,2208588,32
146,10497,,7795977528,31.787529,35.229824,2026-05-02T02:14:42+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441340,8218,30568,42,2026/05/02/02/14,2208589,27
149,1771,,7795977529,31.852104,35.224993,2026-05-02T02:14:42+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441341,8218,30568,42,2026/05/02/02/14,2208589,58
244,10712,,7795977556,31.78614,35.23025,2026-05-02T02:15:21+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441356,8218,30568,42,2026/05/02/02/15,2208590,0
150,2051,,7795977557,31.849826,35.226696,2026-05-02T02:15:12+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441341,8218,30568,42,2026/05/02/02/15,2208590,33
110,11079,,7795977582,31.783838,35.228475,2026-05-02T02:16:37+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441370,8218,30568,42,2026/05/02/02/16,2208591,16
180,3157,,7795977583,31.840988,35.229973,2026-05-02T02:16:43+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441371,8218,30568,42,2026/05/02/02/16,2208591,34
283,0,,7795977584,31.862938,35.227384,2026-05-02T02:16:44+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441372,8218,30568,42,2026/05/02/02/16,2208591,1
