gtfs_ride__end_time,gtfs_ride__gtfs_route_id,gtfs_ride__journey_ref,gtfs_ride__start_time,gtfs_ride_stop__arrival_time,gtfs_ride_stop__departure_time,gtfs_ride_stop__drop_off_type,gtfs_ride_stop__gtfs_ride_id,gtfs_ride_stop__gtfs_stop_id,gtfs_ride_stop__pickup_type,gtfs_ride_stop__shape_dist_traveled,gtfs_ride_stop__stop_sequence,gtfs_route__agency_name,gtfs_route__date,gtfs_route__line_ref,gtfs_route__operator_ref,gtfs_route__route_alternative,gtfs_route__route_direction,gtfs_route__route_long_name,gtfs_route__route_mkt,gtfs_route__route_short_name,gtfs_route__route_type,gtfs_stop__city,gtfs_stop__code,gtfs_stop__date,gtfs_stop__lat,gtfs_stop__lon,gtfs_stop__name,gtfs_stop_id,id,nearest_siri_vehicle_location__bearing,nearest_siri_vehicle_location__distance_from_journey_start,nearest_siri_vehicle_location__distance_from_siri_ride_stop_meters,nearest_siri_vehicle_location__lat,nearest_siri_vehicle_location__lon,nearest_siri_vehicle_location__recorded_at_time,nearest_siri_vehicle_location__siri_ride_stop_id,nearest_siri_vehicle_location__siri_snapshot_id,nearest_siri_vehicle_location__velocity,nearest_siri_vehicle_location_id,order,siri_ride__duration_minutes,siri_ride__first_vehicle_location_id,siri_ride__gtfs_ride_id,siri_ride__journey_gtfs_ride_id,siri_ride__journey_ref,siri_ride__last_vehicle_location_id,siri_ride__route_gtfs_ride_id,siri_ride__scheduled_start_time,siri_ride__siri_route_id,siri_ride__updated_duration_minutes,siri_ride__updated_first_last_vehicle_locations,siri_ride__vehicle_ref,siri_ride_id,siri_stop__code,siri_stop_id
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441920,,,,,,,,,,,36,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,1363,7832
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441888,,,,,,,,,,,28,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,246,9085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441887,,,,,,,,,,,35,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,314,6482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441851,,,,,,,,,,,27,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,254,7831
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441850,,,,,,,,,,,34,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,265,4861
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441822,,,,,,,,,,,25,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,263,4859
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441821,,,,,,,,,,,32,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,257,131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441793,,,,,,,,,,,24,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,2411,2333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441792,,,,,,,,,,,31,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,255,124
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441759,,,,,,,,,,,23,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,5714,1507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441758,,,,,,,,,,,30,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,4136,1510
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441728,,,,,,,,,,,22,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,2424,1954
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441694,,,,,,,,,,,29,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,5799,2935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441693,,,,,,,,,,,57,,,,,2026-05-02-585361094,,,2026-05-02T01:45:00+00:00,9303,,,31621001,135091850,5814,18475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441659,,,,,,,,,,,28,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,246,9085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441658,,,,,,,,,,,56,,,,,2026-05-02-585361094,,,2026-05-02T01:45:00+00:00,9303,,,31621001,135091850,699,10165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441623,,,,,,,,,,,27,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,254,7831
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441622,,,,,,,,,,,55,,,,,2026-05-02-585361094,,,2026-05-02T01:45:00+00:00,9303,,,31621001,135091850,5723,9075
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441600,,,,,,,,,,,53,,,,,2026-05-02-585361094,,,2026-05-02T01:45:00+00:00,9303,,,31621001,135091850,2109,7822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441579,,,,,,,,,,,21,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,1895,32833
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441578,,,,,,,,,,,52,,,,,2026-05-02-585361094,,,2026-05-02T01:45:00+00:00,9303,,,31621001,135091850,5721,12765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441557,,,,,,,,,,,20,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,5797,2938
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441538,,,,,,,,,,,17,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,5706,16099
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441537,,,,,,,,,,,50,,,,,2026-05-02-585361094,,,2026-05-02T01:45:00+00:00,9303,,,31621001,135091850,61448,13582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441521,,,,,,,,,,,15,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,875,6746
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441520,,,,,,,,,,,48,,,,,2026-05-02-585361094,,,2026-05-02T01:45:00+00:00,9303,,,31621001,135091850,883,5168
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441494,,,,,,,,,,,12,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,378,11258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441493,,,,,,,,,,,26,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,256,6481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441478,,,,,,,,,,,11,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,693,9284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441477,,,,,,,,,,,25,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,263,4859
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441476,,,,,,,,,,,46,,,,,2026-05-02-585361094,,,2026-05-02T01:45:00+00:00,9303,,,31621001,135091850,5715,2295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441461,,,,,,,,,,,10,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,886,8073
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441460,,,,,,,,,,,24,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,2411,2333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441459,,,,,,,,,,,43,,,,,2026-05-02-585361094,,,2026-05-02T01:45:00+00:00,9303,,,31621001,135091850,5709,8071
